Season,Round,RaceName,Driver,Team,LapNumber,Stint,Compound,PitDuration_s
2024,9,Canadian Grand Prix,SAI,Ferrari,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,SAI,Ferrari,43.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,SAI,Ferrari,53.0,3.0,MEDIUM,
2024,9,Canadian Grand Prix,RUS,Mercedes,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,RUS,Mercedes,45.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,RUS,Mercedes,54.0,3.0,HARD,
2024,9,Canadian Grand Prix,BOT,Kick Sauber,42.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,PIA,McLaren,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,PIA,McLaren,44.0,2.0,INTERMEDIATE,
2024,10,Spanish Grand Prix,VER,Red Bull Racing,17.0,1.0,SOFT,
2024,10,Spanish Grand Prix,VER,Red Bull Racing,44.0,2.0,MEDIUM,
2024,10,Spanish Grand Prix,NOR,McLaren,23.0,1.0,SOFT,
2024,10,Spanish Grand Prix,NOR,McLaren,47.0,2.0,MEDIUM,
2024,10,Spanish Grand Prix,HAM,Mercedes,16.0,1.0,SOFT,
2024,10,Spanish Grand Prix,HAM,Mercedes,43.0,2.0,MEDIUM,
2024,10,Spanish Grand Prix,RUS,Mercedes,15.0,1.0,SOFT,
2024,10,Spanish Grand Prix,RUS,Mercedes,36.0,2.0,MEDIUM,
2024,10,Spanish Grand Prix,LEC,Ferrari,24.0,1.0,SOFT,
